label,child talk,parent talk
command,,take his cap off
reflection,i'm building a square,a square
command,,hand me a crayon
negative_talk,,give me the hammer or i'm going to give all your toys away
labelled_praise,,you worked so hard on that tower
reflection,i want to play with the legos,you want to play with the legos
question,,where is the blue ball
labelled_praise,,thanks for playing nicely with me
neutral_talk,,it 's ready now
command,,can we get going on this
neutral_talk,,the doggie looks like our doggie
question,,what are you building
command,,be nice
question,,do you want to play with blocks
command,i dont want a fork,id like you to finish the picture
reflection,morning mommy,morning
neutral_talk,,i m listening
neutral_talk,,i'm going to play with these
unlabelled_praise,,very pretty
neutral_talk,this chalk is messy,it is also sticky
behavior_description,,you are laughing
command,,let 's play
behavior_description,pizza,ok you are using chalk
reflection,that didn t go pretty fast,that didn t go pretty fast
neutral_talk,,uh oh
reflection,this is fun,this is fun
neutral_talk,eh eh,those bushes are green
neutral_talk,look at this one,we 're talking too loudly
question,,how are you doing today
reflection,this is a stupid toy,you think these large legos are dumb
command,a rock,look at this
neutral_talk,zoom,i love the car
neutral_talk,but look,oops
behavior_description,,you are sitting
question,,can you hand me the crayons
command,,try to stay within the lines
reflection,i can color with red,you can color with red
neutral_talk,,i'm doing mine over here
behavior_description,,you are building a big building
labelled_praise,,i like the way you 're coloring
question,,where are you going to put the blue crayon
behavior_description,,you are holding the toy
question,,holds up a toy giraffe what is this called
negative_talk,,yuck
negative_talk,,you 're on my last nerve today
question,i m running out of butter to,you re running out of butter
neutral_talk,,these toys are fun
command,,why do n't you put this (object) over there
reflection,i have a green marker,you have a green marker
question,aw,did you put it there
reflection,i'm pouring the tea,you are pouring the lemon tea
command,,why do n't you whisper
neutral_talk,,all these animals are going to line up
labelled_praise,,nice job using your words
neutral_talk,"aren t monster trucks , do you know how big they are","mmm , yeah"
unlabelled_praise,,excellent job
neutral_talk,,i'm making my rainbow just like yours
behavior_description,,you 're making a funny face
behavior_description,(picks up all the toys),you finished
question,,who is coming to get some soda
behavior_description,,you 're looking at the toys
command,,put this inside the house
labelled_praise,,thank you for putting two layers on
neutral_talk,,here are some colors
command,,i hoped that you would draw a rabbit and give it to mom for a present
question,,what color is this apple
neutral_talk,this is boring,boring
neutral_talk,,that 's the puzzle
neutral_talk,,that 's a potato head
question,,and found her a new hat did n't you
neutral_talk,,the accident helper call is called an ambulance
neutral_talk,,no (daddy wo n't be home when we get there)
behavior_description,,you took my marker
question,dey can sit on dis truck,you are pushing it along the floor are not you
question,,are you going to play with the red car
neutral_talk,,i'm making mine high too
neutral_talk,i'm drawing a picture of the ocean,i see a seahorse and a shark
unlabelled_praise,,good manners
unlabelled_praise,,super
command,child is sitting down,can you come over here
labelled_praise,,that was very well organized
command,,why do n't you play with the truck
negative_talk,,if you keep whining i 'll take away your doll for a week
negative_talk,,she 's not going to like that
behavior_description,,you are putting them in order
neutral_talk,,i had a toy like that when i was a boy
neutral_talk,,it 's time to clean up
command,,go get a tissue
command,,hey hold on sophia
reflection,i want to go outside,you would love to go outside
reflection,rapunzel was a grownup,rapunzel was a grownup
labelled_praise,,i like the way you did
neutral_talk,,"and , um , let s see i found a little green apple flavored cupcake"
command,,be careful with the toys
behavior_description,,you are stacking them high
labelled_praise,,i like the way you keep trying
command,,hand me the toys
unlabelled_praise,,you are smart
neutral_talk,,gasps there s monster trucks already in here
reflection,i want to play with animals,we want to play animals
negative_talk,,will you stop running around the room
reflection,i ca n't wait to wear my new shoes,you love your new shoes
negative_talk,child is pushing the legos together but they do n't snap into place,you ca n't get the legos to go together
reflection,lips,lips
behavior_description,,you found the eyes for potato head
command,,come on come on come on
unlabelled_praise,,fabulous
negative_talk,,do n't knock the blocks over
negative_talk,,do n't talk to me like that
negative_talk,,no i said to color this tree green
command,,so we can go eat lunch please bring me your coat
labelled_praise,,good job using an inside voice
command,,why do n't use the larger wheel in the front
question,i want one,which
behavior_description,,you 're going to line everyone up at the start line
behavior_description,,colored a big kitty
negative_talk,i hate you,children should n't say mean things like that
neutral_talk,,i'm eating a piece of pizza with play food
neutral_talk,this fits,"okay , let s put that little truck up then we ll close the box"
