Speaker,Utterance
parent,you and i must pick up these scraps
parent,but do n't mess it up
parent,your drawing is the sickest thing i 've seen all day
parent,do n't throw that
parent,oh are you relaxing now
parent,you re scraping it out with one finger and i m scraping out with one finger
parent,hand me the horse
parent,thats not nice
parent,your coloring
parent,wow good job
parent,the car is going fast
child,is horse
parent,robert
parent,stop jumping
parent,do you want to build a tower with me
parent,you made a great tower
parent,that 's not how you do it
parent,you put that block on
parent,you 're pretending to eat the food
child,how many fingers do i have
parent,one
child,there
parent,it looked like you put it there
parent,come back over here
child,i want to play with the legos
parent,time for legos
parent,did you have fun at school today
child,no
parent,we re gonna put all the blocks in here
child,was i supposed to put this here
parent,that 's an interesting place to put it
parent,you made a castle
child,choo
parent,the doll looks nice
child,i tried as hard as i could
parent,it 's just not quite hard enough
child,we 're playing together
parent,playing together
parent,the cows are all lined up
child,this is a stupid toy
parent,you think this toy is dumb
child,made tower
parent,good job making the tower
parent,we 're building a house for the princess
child,i want some other scissors
parent,that 's wrong
child,do you want to go next
parent,do you want to gonext
parent,please hand me a block
parent,you re really smart to know that
parent,"oh here s a monster truck , here"
child,i like ice cream
parent,i like cake
parent,dollies like to play with little girls
parent,why do n't you start with this toy first
parent,i have a truck
parent,what a smart girl
parent,where is the car
parent,you 're a good artist
parent,i have a red car
parent,you are being so terrible
parent,amazing
parent,that is not how you are supposed to do it
child,i'm going to put a hat on mr potato head
parent,you 're putting a hat on him
parent,you 're driving the train
parent,big rocket you 're playing with
parent,what a creative idea to have pizza with our tea party
child,somebody been mixing some playdough
parent,oh man
parent,you gave me some dinner
child,i drew a truck
parent,a truck
parent,this is a terrific game they have
parent,there is n't any in here
parent,nice job putting your crayons away
parent,thanks for doing that for me kiddo
parent,"oh , you put a green hat on"
parent,you 're going to make log piles
parent,we need to clean up
parent,great work on that building
parent,mr potato head is putting his nose on
child,yep
parent,you are building the tower
parent,you know your shapes
parent,thank you for showing me
child,um
parent,i ll put it there
parent,want some
parent,i bet you ca n't do that again
parent,yes
child,i'm so sleepy i ca n't stay awake
parent,you 're having trouble staying awake
parent,if you do n't rip it i 'll let you have more
parent,do n't throw the toys
child,i know my abcs
parent,where did you learn that
child,"i have ears , you have ears , everyone has ears"
parent,you re right
parent,you make a c like this (demonstrates)
parent,i do n't think that goes like that
parent,can you hand me a red block
parent,you 're going to tie your shoe before you trip
parent,you are coloring inside the lines
parent,i see you 're upset
child,well
parent,thank you for sharing the donut cookie
child,he wont open mouth some more
parent,that is so wonderful how you built that tower
parent,it 's not nice to knock mommy 's tower over
child,green
parent,green
parent,which one s the fastest
child,let 's play cars
parent,i do n't want to play cars
child,come over here
parent,like i 've got nothing better to do
parent,i like the way you 're working on the car
parent,stay in the room
parent,you made that for me
child,he watching tv
parent,watch tv
parent,you 're moving the
parent,what would you like to play
parent,you did a good job of that
child,i want to make it tall
parent,you want to make it tall
parent,do you see the red marker
parent,you 're cheating
child,and blue is next
parent,will you put that away
child,vocalize
parent,if you stop fussing i will give you a new game
parent,you did n't color in the lines right there
child,so we can choose one of them
parent,awesome
parent,great job building a tower
parent,you re right
parent,what did you get for your birthday
parent,we 're making dinner
parent,you 're holding the
parent,ummmm
child,child is pretending to eat an icecream
parent,you like chocolate icecream
parent,okay
parent,did i get it wrong
parent,then we can make some new stuff
child,this is a monster truck
parent,a monster truck
child,why are we here
parent,you want to know why we 're here
parent,if you quit screaming you 'll have more time to play
parent,uh uh
child,i want to kill you
parent,bad boy
parent,i'm proud of you for sitting in your chair
parent,you like these toys
child,a flipper
parent,yeah
child,what is it
parent,i love how you are coloring the picture
child,this is a green dog
parent,i love dogs
child,i ca n't do these any good
parent,you do them very well
parent,you are almost done
parent,please sit down
parent,the grass is green
parent,that s not a monster truck
parent,cant you do anything right
parent,now we 'll have to make a new one
parent,can you give mr potato head some ears
parent,what are they
parent,that 's a big apple that was drawn
child,it goes fast
parent,sure does
parent,i used to have mr potato head when i was a kid
parent,you build the tower so tall
parent,that is a fireman
parent,you 're so creative to think of that
parent,can you help
child,block
parent,you 're right it 's a block
child,should i put it here
parent,right here
child,those don t stick on there
parent,those don t fit i wonder if they fit on this one
parent,good job counting to 10
parent,thank you for cleaning up the toys
